disease	mesh_id	drug	phase	start_date	completion_date	nct_id
Carcinoma, Non-Small-Cell Lung	D002289	afatinib	Phase 1	2009	2020	NCT01999985;NCT03054038;NCT04448379;NCT02191891;NCT03827070;NCT01090011;NCT03711422;NCT00993499;NCT01647711;NCT02364609;NCT01288430
Carcinoma, Non-Small-Cell Lung	D002289	afatinib	Phase 2	2007	2020	NCT03623750;NCT02716311;NCT03399669;NCT02470065;NCT04470076;NCT02450656;NCT01003899;NCT00525148;NCT04148898;NCT02488694;NCT01415011;NCT02183883;NCT02795156;NCT02369484;NCT02597946;NCT02906163;NCT01542437;NCT04497584;NCT00730925;NCT00711594;NCT03574402;NCT01932229;NCT02747953;NCT03727724;NCT03157089;NCT01746251;NCT02098954;NCT00796549;NCT02595840;NCT01156545;NCT03810872
Carcinoma, Non-Small-Cell Lung	D002289	afatinib	Phase 3	2008	2015	NCT01814553;NCT01523587;NCT00949650;NCT02438722;NCT00656136;NCT01121393;NCT01085136;NCT02044380;NCT01953913;NCT01853826
Carcinoma, Non-Small-Cell Lung	D002289	afatinib	Phase 4	2014	2020	NCT02514174;NCT02695290;NCT02208843;NCT04413201;NCT04356118
Carcinoma	D002277	afatinib	Phase 1	2011	2020	NCT02451553;NCT03652233;NCT01288430;NCT03878524
Carcinoma	D002277	afatinib	Phase 2	2007	2020	NCT04183712;NCT03088059;NCT02541903;NCT02795156;NCT01608022;NCT01824823;NCT00514943;NCT02353936;NCT01415674;NCT01538381;NCT02465060;NCT02491099;NCT03940976;NCT03157089;NCT04533321;NCT03486509
Carcinoma	D002277	afatinib	Phase 3	2011	2012	NCT01427478;NCT01523587;NCT01345682
Carcinoma	D002277	afatinib	Phase 4	2018	2018	NCT04132102
Carcinoma, Squamous Cell	D002294	afatinib	Phase 1	2012	2018	NCT01721525;NCT03652233
Carcinoma, Squamous Cell	D002294	afatinib	Phase 2	2007	2020	NCT03088059;NCT02541903;NCT03695510;NCT01608022;NCT01824823;NCT00514943;NCT02353936;NCT01415674;NCT01538381;NCT03940976;NCT03157089;NCT02979977;NCT04533321;NCT01732640;NCT03486509
Carcinoma, Squamous Cell	D002294	afatinib	Phase 3	2011	2012	NCT01427478;NCT01345682
Carcinoma, Squamous Cell	D002294	afatinib	Phase 4	2018	2018	NCT04132102
Squamous Cell Carcinoma of Head and Neck	D000077195	afatinib	Phase 1	2013	2018	NCT01783587;NCT03652233
Squamous Cell Carcinoma of Head and Neck	D000077195	afatinib	Phase 2	2012	2019	NCT03088059;NCT03695510;NCT01824823;NCT01415674;NCT01538381;NCT01732640
Squamous Cell Carcinoma of Head and Neck	D000077195	afatinib	Phase 3	2011	2011	NCT01427478
Neoplasms, Squamous Cell	D018307	afatinib	Phase 1	2012	2012	NCT01721525
Neoplasms, Squamous Cell	D018307	afatinib	Phase 2	2017	2017	NCT02979977
Gallbladder Neoplasms	D005706	afatinib	Phase 2	2019	2019	NCT04183712
Breast Neoplasms	D001943	afatinib	Phase 1	2009	2020	NCT00950742;NCT01649271;NCT03878524
Breast Neoplasms	D001943	afatinib	Phase 2	2006	2020	NCT00431067;NCT01441596;NCT00708214;NCT01594177;NCT02768337;NCT01271725;NCT01325428;NCT01531764;NCT02465060;NCT00826267;NCT02115048;NCT04158947;NCT02511847;NCT00425854
Breast Neoplasms	D001943	afatinib	Phase 3	2010	2010	NCT01125566
Lung Neoplasms	D008175	afatinib	Phase 1	2011	2020	NCT01999985;NCT04448379;NCT03827070;NCT03711422;NCT02364609;NCT01836341;NCT01288430
Lung Neoplasms	D008175	afatinib	Phase 2	2008	2020	NCT02716311;NCT03399669;NCT02470065;NCT04470076;NCT04148898;NCT02488694;NCT01415011;NCT01480141;NCT02906163;NCT01542437;NCT02625168;NCT04497584;NCT02768337;NCT00711594;NCT02747953;NCT02629523;NCT02465060;NCT03157089;NCT02271906;NCT01466660;NCT01156545
Lung Neoplasms	D008175	afatinib	Phase 3	2015	2015	NCT02438722
Lung Neoplasms	D008175	afatinib	Phase 4	2020	2020	NCT04356118
Colorectal Neoplasms	D015179	afatinib	Phase 2	2006	2015	NCT00801294;NCT02450656;NCT02465060;NCT01919879;NCT01152437
Pancreatic Neoplasms	D010190	afatinib	Phase 1	2015	2020	NCT02451553;NCT02975141;NCT03878524
Pancreatic Neoplasms	D010190	afatinib	Phase 2	2015	2015	NCT02450656;NCT02465060
Carcinoma, Ductal	D044584	afatinib	Phase 1	2015	2015	NCT02451553
Multiple Myeloma	D009101	afatinib	Phase 1	2020	2020	NCT03878524
Multiple Myeloma	D009101	afatinib	Phase 2	2015	2016	NCT02693535;NCT04439136;NCT02465060
Lymphoma, Non-Hodgkin	D008228	afatinib	Phase 1	2020	2020	NCT03878524
Lymphoma, Non-Hodgkin	D008228	afatinib	Phase 2	2016	2016	NCT02693535
Glioblastoma	D005909	afatinib	Phase 1	2009	2009	NCT00977431
Brain Neoplasms	D001932	afatinib	Phase 1	2016	2016	NCT02423525
Brain Neoplasms	D001932	afatinib	Phase 2	2015	2020	NCT02768337;NCT04158947
Head and Neck Neoplasms	D006258	afatinib	Phase 2	2007	2019	NCT03695510;NCT00514943;NCT02979977
