PKI,PK,PMID,ACT_VALUE (uM),ACT_TYPE,MoA
abemaciclib,CDK4,24919854,0.0006,Ki,INHIBITOR
abemaciclib,CDK6,24919854,0.0024,Ki,INHIBITOR
acalabrutinib,BTK,26641137,0.005099998,IC50,INHIBITOR
afatinib,EGFR,18408761,0.0001,Kd,INHIBITOR
afatinib,ERBB2,18408761,0.005011872,Kd,INHIBITOR
afatinib,ERBB4,22888144,0.006309573,Kd,INHIBITOR
alectinib,ALK,23639470,0.001899999,IC50,INHIBITOR
alectinib,RET,23639470,0.004799998,IC50,INHIBITOR
alpelisib,PIK3CA,25544637,,,
amlexanox,IKBKE,27646933,,,
amlexanox,TBK1,27646933,1,IC50,
apatinib,KDR,20923544,,,
apatinib,KIT,20923544,0.428999965,IC50,
apatinib,PDGFRB,20923544,,,
avapritinib,KIT,33453089,0.000269153,IC50,INHIBITOR
avapritinib,PDGFRA,33453089,,,
axitinib,FLT1,32402135,,,
axitinib,FLT4,32402135,,,
axitinib,KDR,27566443,,,
baricitinib,JAK1,20363976,0.005900001,IC50,INHIBITOR
baricitinib,JAK2,20363976,0.005699997,IC50,INHIBITOR
benzbromarone,MAPK14,31926251,,,
binimetinib,MAP2K1,32100585,,,
binimetinib,MAP2K2,32100585,,,
bosutinib,ABL1,33214787,2.88403E-05,Kd,INHIBITOR
bosutinib,HCK,12543790,0.003388442,Kd,INHIBITOR
bosutinib,LYN,12543790,0.004168694,Kd,INHIBITOR
bosutinib,SRC,33214787,0.001,Kd,INHIBITOR
brigatinib,ALK,27780853,0.0006,IC50,INHIBITOR
brigatinib,ROS1,27780853,0.001899999,IC50,
cabozantinib,AXL,33598435,,,
cabozantinib,KDR,28477875,,,
cabozantinib,MET,28477875,0.001299999,IC50,INHIBITOR
cabozantinib,RET,28477875,0.005200001,IC50,INHIBITOR
ceritinib,ALK,33692962,0.0002,IC50,INHIBITOR
cetuximab,EGFR,33664437,0.000389045,Kd,ANTIBODY BINDING
cobimetinib,MAP2K1,33539944,,,
cobimetinib,MAP2K2,33539944,,,
copanlisib,PIK3CA,24170767,,,
copanlisib,PIK3CB,24170767,,,
copanlisib,PIK3CD,24170767,,,
copanlisib,PIK3CG,24170767,,,
crizotinib,ALK,33692962,0.00074131,Ki,INHIBITOR
crizotinib,MET,33676017,0.000549541,Kd,INHIBITOR
crizotinib,ROS1,33676017,0.004073803,Kd,
dabrafenib,BRAF,33670365,0.000700001,IC50,INHIBITOR
dacomitinib,EGFR,33651475,0.006,IC50,INHIBITOR
