D000070818	Discoidin Domain Receptors	Receptors, Discoidin Domain
D000070819	Discoidin Domain Receptor 1	
D000070820	Discoidin Domain Receptor 2	
D000071158	Leucine-Rich Repeat Serine-Threonine Protein Kinase-2	Leucine Rich Repeat Serine Threonine Protein Kinase 2
D000071189	Autophagy-Related Protein-1 Homolog	Autophagy Related Protein 1 Homolog
D000071677	Histidine Kinase	Kinase, Histidine
D000071679	Glycogen Synthase Kinase 3 beta	
D000071877	Checkpoint Kinase 1	
D000072377	Syk Kinase	Kinase, Syk
D000072379	NIMA-Related Kinases	Kinases, NIMA-Related; NIMA Related Kinases
D000072380	NIMA-Related Kinase 1	NIMA Related Kinase 1
D000074121	Protein Kinase C-theta	
D000076202	c-Mer Tyrosine Kinase	Kinase, c-Mer Tyrosine; Tyrosine Kinase, c-Mer; c Mer Tyrosine Kinase
D000076204	WNK Lysine-Deficient Protein Kinase 1	WNK Lysine Deficient Protein Kinase 1
D000076222	Mechanistic Target of Rapamycin Complex 1	
D000076223	Regulatory-Associated Protein of mTOR	Regulatory Associated Protein of mTOR; mTOR Regulatory-Associated Protein
D000076225	Mechanistic Target of Rapamycin Complex 2	
D000076226	Rapamycin-Insensitive Companion of mTOR Protein	Rapamycin Insensitive Companion of mTOR Protein
D000076242	mTOR Associated Protein, LST8 Homolog	
D000077293	Receptor, Transforming Growth Factor-beta Type I	
D000077294	Receptor, Transforming Growth Factor-beta Type II	Receptor, Transforming Growth Factor beta Type II
D000077329	Agammaglobulinaemia Tyrosine Kinase	Kinase, Agammaglobulinaemia Tyrosine; Tyrosine Kinase, Agammaglobulinaemia
D000077548	Anaplastic Lymphoma Kinase	
D000081247	CSK Tyrosine-Protein Kinase	CSK Tyrosine Protein Kinase; Kinase, CSK Tyrosine-Protein; Tyrosine-Protein Kinase, CSK
D000081382	Pyruvate Dehydrogenase Acetyl-Transferring Kinase	Pyruvate Dehydrogenase Acetyl Transferring Kinase
D000081410	Germinal Center Kinases	Center Kinases, Germinal; Kinases, Germinal Center
D006656	Protamine Kinase	Kinase, Protamine
D009219	Myosin-Light-Chain Kinase	Kinase, Myosin-Light-Chain; Myosin Light Chain Kinase
D010764	Phosphorylase Kinase	Kinase, Phosphorylase
D011493	Protein Kinase C	
D011494	Protein Kinases	Kinases, Protein
D011505	Protein-Tyrosine Kinases	Kinases, Protein-Tyrosine; Protein Tyrosine Kinases
D011958	[OBSOLETE] Receptor, Epidermal Growth Factor	
D011972	Receptor, Insulin	
D015688	Oncogene Protein pp60(v-src)	
D016044	Fusion Proteins, bcr-abl	Fusion Proteins, bcr abl
D016186	Receptor, Macrophage Colony-Stimulating Factor	Receptor, Macrophage Colony Stimulating Factor
D016200	Maturation-Promoting Factor	Maturation Promoting Factor
D016203	CDC2 Protein Kinase	Protein Kinase, CDC2
D016315	Proto-Oncogene Proteins c-abl	Proto Oncogene Proteins c abl; c-abl, Proto-Oncogene Proteins
D016392	Proto-Oncogene Proteins pp60(c-src)	
D017231	Proto-Oncogene Proteins c-mos	Proteins c-mos, Proto-Oncogene; Proto Oncogene Proteins c mos; c-mos, Proto-Oncogene Proteins
D017346	Protein-Serine-Threonine Kinases	Kinases, Protein-Serine-Threonine; Protein Serine Threonine Kinases
D017479	Receptors, Platelet-Derived Growth Factor	Receptors, Platelet Derived Growth Factor
D017489	CDC28 Protein Kinase, S cerevisiae	
D017526	Receptor, IGF Type 1	
