Sym	Name	UniProt	Description	GeneID	STRING ID	TDL	DTO_Lvl3	DTO_Lvl4	DTO_Lvl5	DTO_Lvl6	mouse_symbol	support	support_count	confidence	Subcell_Location
AAK1	AAK1_HUMAN	Q2M2I8	AP2-associated protein kinase 1	22848	ENSP00000386456	Tchem	protein kinase	other group	NAK family		Aak1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther	11	good	Plasma membrane| Cytosol
AATK	LMTK1_HUMAN	Q6ZMQ8	Serine/threonine-protein kinase LMTK1	9625	ENSP00000324196	Tbio	protein kinase	TK group	LMR family		Aatk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Mitochondria
ABL1	ABL1_HUMAN	P00519	Tyrosine-protein kinase ABL1	25	ENSP00000361423	Tclin	protein kinase	TK group	ABL family		Abl1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Nuclear bodies
ABL2	ABL2_HUMAN	P42684	Tyrosine-protein kinase ABL2	27	ENSP00000427562	Tchem	protein kinase	TK group	ABL family		Abl2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm
ACVR1	ACVR1_HUMAN	Q04771	Activin receptor type-1	90	ENSP00000263640	Tchem	protein kinase	TKL group	STKR family	STKR Type 1 subfamily	Acvr1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Plasma membrane
ACVR1B	ACV1B_HUMAN	P36896	Activin receptor type-1B	91	ENSP00000442656	Tchem	protein kinase	TKL group	STKR family	STKR Type 1 subfamily	Acvr1b	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol| Plasma membrane
ACVR1C	ACV1C_HUMAN	Q8NER5	Activin receptor type-1C	130399	ENSP00000243349	Tbio	protein kinase	TKL group	STKR family	STKR Type 1 subfamily	Acvr1c	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
ACVR2A	AVR2A_HUMAN	P27037	Activin receptor type-2A	92	ENSP00000241416	Tchem	protein kinase	TKL group	STKR family	STKR Type 2 subfamily	Acvr2a	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
ACVR2B	AVR2B_HUMAN	Q13705	Activin receptor type-2B	93	ENSP00000340361	Tchem	protein kinase	TKL group	STKR family	STKR Type 2 subfamily	Acvr2b	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus| Cytosol| Nuclear bodies
ACVRL1	ACVL1_HUMAN	P37023	Serine/threonine-protein kinase receptor R3	94	ENSP00000373574	Tchem	protein kinase	TKL group	STKR family	STKR Type 1 subfamily	Acvrl1	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Plasma membrane
